feature,gain,rank
vol_5,0.1252935,1
ret_1,0.05868232,2
log_ret_1,0.05577264,3
hl_range,0.051188357,4
ret_2,0.046095382,5
close_sma5,0.04530648,6
bb_width,0.040751148,7
vol_20,0.033193868,8
vol_ratio_20,0.029985018,9
rsi_14,0.029690513,10
close_sma10,0.02779592,11
dist_52w_low,0.027565686,12
gap,0.027191743,13
close_ema12,0.02603328,14
dist_52w_high,0.024843499,15
month,0.023826731,16
ret_3,0.0228547,17
macd_c,0.022520581,18
log_ret_5,0.020699497,19
atr_ratio,0.019946434,20
ret_10,0.019004505,21
ret_5,0.01885595,22
dayofweek,0.018785803,23
close_sma100,0.01839732,24
sma20_sma50,0.01776409,25
bb_pct_b,0.017762389,26
close_sma20,0.017250238,27
macd_signal_c,0.017241692,28
vol_change,0.017013127,29
macd_hist_c,0.016758492,30
vol_ratio_5,0.016756237,31
ret_20,0.015920851,32
close_ema26,0.0149731515,33
close_sma50,0.014278886,34
