ticker,rows,clf_auc,clf_base_rate,corr_pred_ret,strat_return_pct,buyhold_return_pct,trades,hit_rate
BBCA,1137,0.6047,0.4053,-0.0485,-17.76,-13.22,199,0.402
BUMI,1137,0.4883,0.4493,-0.0359,29.25,82.48,215,0.4465
BBRI,1137,0.4851,0.4405,-0.085,-24.04,-17.3,151,0.4371
BMRI,1137,0.5247,0.4361,0.0347,10.39,-2.8,211,0.4645
ANTM,1137,0.523,0.4934,0.0033,-7.86,5.05,95,0.4526
BRMS,1137,0.4763,0.4581,-0.0873,11.36,68.24,136,0.4853
PTRO,1136,0.4635,0.5022,-0.0687,0.65,11.8,218,0.5092
DEWA,1009,0.4843,0.4726,0.0263,49.76,61.57,134,0.4701
BRPT,1137,0.5394,0.4449,-0.0938,-53.27,-33.78,137,0.4526
TPIA,1136,0.5345,0.3877,-0.0803,-67.4,-68.34,219,0.3927
TLKM,1137,0.4439,0.4317,0.0564,-12.31,-17.9,24,0.4167
CUAN,729,0.5538,0.3724,0.0241,-53.04,-62.26,120,0.3917
DSSA,820,0.5649,0.411,-0.0784,-69.32,-70.41,150,0.4267
AMMN,682,0.549,0.4265,-0.0087,-38.16,-38.09,102,0.4216
ASII,1137,0.5774,0.4097,0.2361,24.88,-15.58,130,0.4692
RAJA,1132,0.444,0.4602,-0.0102,85.37,61.46,199,0.4623
BUVA,717,0.4554,0.4126,-0.0864,-66.18,-60.17,117,0.4359
BBNI,1137,0.4457,0.3877,0.1263,6.8,-10.33,167,0.4072
BREN,616,0.4499,0.3659,0.0938,-42.37,-66.53,97,0.433
