no,name,description,sector,industry,close,open,high,low,change,volume,total_shares_outstanding,average_volume_10d_calc,currency,exchange,market_cap,market_cap_miliar_idr,tanggal_data
1,AADI,Pt Adaro Andalan Indonesia Tbk,Energy Minerals,Coal,10125,10125,10250,10100,0.0,2191500,7786891600.0,9857390.0,IDR,IDX,78842277450000.0,78842.28,2026-08-28 13:36:02
2,AALI,PT Astra Agro Lestari Tbk,Process Industries,Agricultural Commodities/Milling,7925,8000,8000,7925,-0.9375,238700,1924690000.0,1571320.0000000068,IDR,IDX,15253168250000.0,15253.17,2026-08-28 13:36:02
3,ABDA,PT Asuransi Bina Dana Arta Tbk Class A,Finance,Property/Casualty Insurance,3810,3810,3810,3810,0.0,1000,620807000.0,2720.0,IDR,IDX,2365274670000.0,2365.27,2026-08-28 13:36:02
4,ABMM,PT ABM Investama Tbk,Energy Minerals,Coal,2720,2700,2760,2700,0.7407407407407408,281500,2753170000.0,405120.0,IDR,IDX,7488622400000.0,7488.62,2026-08-28 13:36:02
5,ACES,PT Aspirasi Hidup Indonesia Tbk,Retail Trade,Home Improvement Chains,358,360,360,358,0.0,3299000,17120400000.000002,22010240.0,IDR,IDX,6129103200000.001,6129.1,2026-08-28 13:36:02
6,ACRO,PT Samcro Hyosung Adilestari Tbk Class A,Process Industries,Textiles,65,64,69,64,1.5625,27995800,,8938550.0,IDR,IDX,,,2026-08-28 13:36:02
7,ACST,PT Acset Indonusa Tbk,Industrial Services,Engineering & Construction,86,86,86,86,0.0,72800,17675200000.0,354240.0,IDR,IDX,1520067200000.0,1520.07,2026-08-28 13:36:02
8,ADES,PT Akasha Wira International Tbk,Consumer Non-Durables,Beverages: Non-Alcoholic,32375,32375,32375,32375,0.0,3100,589897000.0,9450.0,IDR,IDX,19097915375000.0,19097.92,2026-08-28 13:36:02
9,ADHI,PT Adhi Karya (Persero) Tbk,Industrial Services,Engineering & Construction,133,137,138,132,-3.6231884057971016,35346200,8407610000.000001,20181780.0,IDR,IDX,1118212130000.0002,1118.21,2026-08-28 13:36:02
10,ADMF,PT Adira Dinamika Multi Finance Tbk,Finance,Finance/Rental/Leasing,8775,8700,8800,8700,0.8620689655172413,16700,1225983846.0,57550.0,IDR,IDX,10758008248650.0,10758.01,2026-08-28 13:36:02
11,ADMG,PT Polychem Indonesia Tbk,Process Industries,Textiles,252,260,260,246,-1.5625,344000,3889180000.0,834840.0,IDR,IDX,980073360000.0,980.07,2026-08-28 13:36:02
12,ADMR,PT Alamtri Minerals Indonesia Tbk,Energy Minerals,Coal,1705,1735,1780,1705,-0.872093023255814,19717400,40882332000.0,31345160.0,IDR,IDX,69704376060000.0,69704.38,2026-08-28 13:36:02
13,ADRO,PT Alamtri Resources Indonesia Tbk,Energy Minerals,Coal,2650,2700,2720,2650,-1.8518518518518516,12112600,28211304800.0,32134430.0,IDR,IDX,74759957720000.0,74759.96,2026-08-28 13:36:02
